"","sampleID.exp","test1.exp","allP.exp","ztest1","zallP","month","june","aug","exp.adjust","exp.adjustTest1","stress"
"70","102",32910,38950,0.377985607537354,0.044817250933573,"aug",0,1,1775.1184137205,34685.1184137205,4264.8815862795
"71","103",35070,39210,2.32416098279565,0.489337984267247,"aug",0,1,2007.22135617289,37077.2213561729,2132.77864382711
"72","104",32240,38450,-0.225689161639982,-0.810030313169653,"aug",0,1,1539.05843932134,33779.0584393213,4670.94156067866
"73","113",34900,39740,2.17098977270587,1.39547640221667,"aug",0,1,1854.91994049907,36754.9199404991,2985.08005950094
"74","114",32360,39010,-0.117568307458968,0.147398958625952,"aug",0,1,1761.74287355186,34121.7428735519,4888.25712644814
"75","115",36500,40000,3.61260116178609,1.83999713555034,"aug",0,1,1830.00000000916,38330.0000000092,1669.99999999085
"76","116",35070,37560,2.32416098279565,-2.3316589772734,"aug",0,1,1683.01682482126,36753.0168248213,806.983175178742
"77","137",33380,38650,0.801458953079673,-0.46809128752837,"aug",0,1,1766.26517869841,35146.2651786984,3503.73482130159
"78","138",33450,38930,0.864529451351932,0.0106233483694386,"aug",0,1,1790.37751777457,35240.3775177746,3689.62248222543
"79","139",33110,38730,0.558187031172383,-0.331315677271857,"aug",0,1,1764.14425417753,34874.1442541775,3855.85574582247
"80","140",31310,37810,-1.06362578154286,-1.90423519522178,"aug",0,1,1006.96678123768,32316.9667812377,5493.03321876232
"81","149",32900,38740,0.368975536355604,-0.314218725989783,"aug",0,1,1760.6184566162,34660.6184566162,4079.3815433838
"82","150",32790,39470,0.26986475335634,0.933858717600921,"aug",0,1,1816.08562278041,34606.0856227804,4863.9143772196
"83","151",35180,37310,2.42327176579491,-2.75908275932501,"aug",0,1,1570.7461048214,36750.7461048214,559.253895178597
"84","152",33420,39420,0.837499237806677,0.848373961190604,"aug",0,1,1833.90248309901,35253.902483099,4166.09751690099
"85","161",33100,38890,0.549176959990634,-0.057764456758818,"aug",0,1,1779.16996943865,34879.1699694386,4010.83003056135
"86","162",33530,39510,0.936610020805942,1.00224652272918,"aug",0,1,1899.83575392459,35429.8357539246,4080.16424607541
"87","163",33120,39020,0.567197102354133,0.164495909908025,"aug",0,1,1789.31080226373,34909.3108022637,4110.68919773627
"88","164",31970,38090,-0.468961083547271,-1.42552055932397,"aug",0,1,1332.68346513683,33302.6834651368,4787.31653486317
"89","17",32220,39070,-0.243709304003487,0.249980666318343,"aug",0,1,1761.50610888387,33981.5061088839,5088.49389111612
"90","174",35690,40000,2.88278539606423,1.83999713555034,"aug",0,1,1830.00003310477,37520.0000331048,2479.99996689523
